Item Classification,Item Type,Item ID,Item ID,SOP# or item shortname convention,Course Title (include Site),Revision Number,"Revision Date
(dd/mmm/yyyy)",Course Description,Domain,Assignment Type,"Approval Date 
(dd/mmm/yyyy)",Item Category,Item Sub-type,Version,Initial Number,Initial Period,Initial Basis,Content Item Link,Content Item ID,Status Check - AB,
Online,Document (DOC),LSG-BED-4335616,LSG-BED-4335616,4335616,"4335616 PROC,4335615 PACKAGING - 5 pk. POP-7 (PPA MA Sites)",L,22-Oct-25,Batch record for POP-7 Polymer box of 5 (P/N 4335615),BED,Required (REQ),10/22/2025,LSG (LSG),Standard Operating Procedure,L,28,Days,Event,https://egbp.fa.us6.oraclecloud.com/fscmUI/faces/deeplink?objType=PIM_ITEM&action=EDIT&objKey=pItemNumber=4335616;pOrgId=300000001488573,LSG-BED-4335616-C01,Updated,
Online,Document (DOC),LSG-BED-4339728,LSG-BED-4339728,4339728,"4339728 PROC, 4351604 PROCESSING - Star Quat Poly (PPA MA Sites)",E2,14-Jul-22,Procedure for Bulk Star Quat Polymer Concentrate formulation,BED,Required (REQ),7/14/2022,LSG (LSG),Standard Operating Procedure,E2,28,Days,Event,http://wmprd.thermofisher.com:5555/ABIWSLOTUS/index.dsp?I_MATNR=o:4339728,LSG-BED-4339728-C01,Current,
Online,Document (DOC),LSG-BED-4339739,LSG-BED-4339739,4339739,"4339739 PROC, 4339727 PROCESSING - Star Quat (PPA MA Sites)",G,23-Aug-24,Batch record for Bulk Star Quat Polymer 10 mg/mL,BED,Required (REQ),8/23/2024,LSG (LSG),Standard Operating Procedure,G,28,Days,Event,https://egbp.fa.us6.oraclecloud.com/fscmUI/faces/deeplink?objType=PIM_ITEM&action=EDIT&objKey=pItemNumber=4339739;pOrgId=300000001488573,LSG-BED-4339739-C01,Current,
Online,Document (DOC),LSG-BED-4340384,LSG-BED-4340384,4340384,"4340384 PROC,4340379 PACKAGING - 25mL CAP Polymer (PPA MA Sites)",K,1-Jan-24,Batch record for CAP Polymer 25 mL (P/N 4340379),BED,Required (REQ),1/1/2024,LSG (LSG),Standard Operating Procedure,K,28,Days,Event,http://wmprd.thermofisher.com:5555/ABIWSLOTUS/index.dsp?I_MATNR=o:4340384,LSG-BED-4340384-C01,Current,
Online,Document (DOC),LSG-BED-4340690,LSG-BED-4340690,4340690,"4340690 PROC, 4340689 PROCESSING - Star Quat Mon (PPA MA Sites)",E,20-Jan-25,Procedure for Bulk Star Quat Monomer formulation,BED,Required (REQ),1/20/2025,LSG (LSG),Standard Operating Procedure,E,28,Days,Event,https://egbp.fa.us6.oraclecloud.com/fscmUI/faces/deeplink?objType=PIM_ITEM&action=EDIT&objKey=pItemNumber=4340690;pOrgId=300000001488573,LSG-BED-4340690-C01,Current,
Online,Document (DOC),LSG-BED-4340692,LSG-BED-4340692,4340692,"4340692 PROC, 4340691 PROCESSING (PPA MA Sites)",D1,27-Dec-22,Procedure for Bulk 3-Hydroxypropionitrile Distilled formulation,BED,Required (REQ),12/27/2022,LSG (LSG),Standard Operating Procedure,D1,28,Days,Event,http://wmprd.thermofisher.com:5555/ABIWSLOTUS/index.dsp?I_MATNR=o:4340692,LSG-BED-4340692-C01,Current,Check
Online,Document (DOC),LSG-BED-4345186,LSG-BED-4345186,4345186,"4345186 PROC, T5013 PROCESSING - TBQ Monomer (PPA MA Sites)",K2,29-Mar-23,Procedure for TBQ Monomer formulation,BED,Required (REQ),3/29/2023,LSG (LSG),Standard Operating Procedure,K2,28,Days,Event,http://wmprd.thermofisher.com:5555/ABIWSLOTUS/index.dsp?I_MATNR=o:4345186,LSG-BED-4345186-C01,Current,
Online,Document (DOC),LSG-BED-4345187,LSG-BED-4345187,4345187,"4345187 PROC, T5015 PROCESSING (PPA MA Sites)",F,20-Jan-25,Procedure for CSPD Solid formulation,BED,Required (REQ),1/20/2025,LSG (LSG),Standard Operating Procedure,F,28,Days,Event,https://egbp.fa.us6.oraclecloud.com/fscmUI/faces/deeplink?objType=PIM_ITEM&action=EDIT&objKey=pItemNumber=4345187;pOrgId=300000001488573,LSG-BED-4345187-C01,Current,
Online,Document (DOC),LSG-BED-4345188,LSG-BED-4345188,4345188,"4345188 PROC, T5016 PROCESSING (PPA MA Sites)",H,20-Jan-25,Procedure for CDP-Star Solid,BED,Required (REQ),1/20/2025,LSG (LSG),Standard Operating Procedure,H,28,Days,Event,https://egbp.fa.us6.oraclecloud.com/fscmUI/faces/deeplink?objType=PIM_ITEM&action=EDIT&objKey=pItemNumber=4345188;pOrgId=300000001488573,LSG-BED-4345188-C01,Current,
Online,Document (DOC),LSG-BED-4345189,LSG-BED-4345189,4345189,"4345189 PROC, T5019 PROCESSING (PPA MA Sites)",H,20-Jan-25,Procedure for Galacton-Star Solid formulation,BED,Required (REQ),1/20/2025,LSG (LSG),Standard Operating Procedure,H,28,Days,Event,https://egbp.fa.us6.oraclecloud.com/fscmUI/faces/deeplink?objType=PIM_ITEM&action=EDIT&objKey=pItemNumber=4345189;pOrgId=300000001488573,LSG-BED-4345189-C01,Current,
Online,Document (DOC),LSG-BED-4345195,LSG-BED-4345195,4345195,"4345195 PROC, T11536 PROCESSING (PPA MA Sites)",E,20-Jan-25,Procedure for CSPD Phosphate Triester Enol Ether formulation,BED,Required (REQ),1/20/2025,LSG (LSG),Standard Operating Procedure,E,28,Days,Event,https://egbp.fa.us6.oraclecloud.com/fscmUI/faces/deeplink?objType=PIM_ITEM&action=EDIT&objKey=pItemNumber=4345195;pOrgId=300000001488573,LSG-BED-4345195-C01,Current,
Online,Document (DOC),LSG-BED-4345196,LSG-BED-4345196,4345196,"4345196 PROC, T11537 PROCESSING (PPA MA Sites)",F,20-Jan-25,Procedure for CSPD Phosphate Triester Dioxetane,BED,Required (REQ),1/20/2025,LSG (LSG),Standard Operating Procedure,F,28,Days,Event,https://egbp.fa.us6.oraclecloud.com/fscmUI/faces/deeplink?objType=PIM_ITEM&action=EDIT&objKey=pItemNumber=4345196;pOrgId=300000001488573,LSG-BED-4345196-C01,Current,
Online,Document (DOC),LSG-BED-4345197,LSG-BED-4345197,4345197,"4345197 PROC, T11538 PROCESSING (PPA MA Sites)",F,20-Jan-25,Procedure for CSPD Crude,BED,Required (REQ),1/20/2025,LSG (LSG),Standard Operating Procedure,F,28,Days,Event,https://egbp.fa.us6.oraclecloud.com/fscmUI/faces/deeplink?objType=PIM_ITEM&action=EDIT&objKey=pItemNumber=4345197;pOrgId=300000001488573,LSG-BED-4345197-C01,Current,
Online,Document (DOC),LSG-BED-4345199,LSG-BED-4345199,4345199,"4345199 PROC, T11552 PROCESSING (PPA MA Sites)",D,19-Nov-20,Procedure for CDP-Star Dimethyl Acetal formulation,BED,Required (REQ),11/19/2020,LSG (LSG),Standard Operating Procedure,D,28,Days,Event,http://wmprd.thermofisher.com:5555/ABIWSLOTUS/index.dsp?I_MATNR=o:4345199,LSG-BED-4345199-C01,Current,
Online,Document (DOC),LSG-BED-4345201,LSG-BED-4345201,4345201,"4345201 PROC,  T11553 PROCESSING (PPA MA Sites)",D,7-Jul-20,Procedure for CDP-Star Phosphonate formulation,BED,Required (REQ),7/7/2020,LSG (LSG),Standard Operating Procedure,D,28,Days,Event,http://wmprd.thermofisher.com:5555/ABIWSLOTUS/index.dsp?I_MATNR=o:4345201,LSG-BED-4345201-C01,Current,
Online,Document (DOC),LSG-BED-4345202,LSG-BED-4345202,4345202,"4345202 PROC,  T11554 PROCESSING (PPA MA Sites)",G,25-Oct-22,Procedure for CDP-Star Methoxy Enol Ether,BED,Required (REQ),10/25/2022,LSG (LSG),Standard Operating Procedure,G,28,Days,Event,http://wmprd.thermofisher.com:5555/ABIWSLOTUS/index.dsp?I_MATNR=o:4345202,LSG-BED-4345202-C01,Current,
Online,Document (DOC),LSG-BED-4345203,LSG-BED-4345203,4345203,"4345203 PROC, T11555 PROCESSING (PPA MA Sites)",E,3-Nov-20,Procedure for CDP-Star Phenol Enol Ether,BED,Required (REQ),11/3/2020,LSG (LSG),Standard Operating Procedure,E,28,Days,Event,http://wmprd.thermofisher.com:5555/ABIWSLOTUS/index.dsp?I_MATNR=o:4345203,LSG-BED-4345203-C01,Current,
Online,Document (DOC),LSG-BED-4345204,LSG-BED-4345204,4345204,"4345204 PROC,  T11556 PROCESSING (PPA MA Sites)",D1,18-May-22,Procedure for CDP-Star Phosphate Triester Enol Ether,BED,Required (REQ),5/18/2022,LSG (LSG),Standard Operating Procedure,D1,28,Days,Event,http://wmprd.thermofisher.com:5555/ABIWSLOTUS/index.dsp?I_MATNR=o:4345204,LSG-BED-4345204-C01,Current,
Online,Document (DOC),LSG-BED-4345205,LSG-BED-4345205,4345205,"4345205 PROC, T11557 PROCESSING (PPA MA Sites)",E1,25-May-22,Procedure for CDP-STAR Phosphate Triester Dioxetane,BED,Required (REQ),5/25/2022,LSG (LSG),Standard Operating Procedure,E1,28,Days,Event,http://wmprd.thermofisher.com:5555/ABIWSLOTUS/index.dsp?I_MATNR=o:4345205,LSG-BED-4345205-C01,Current,
Online,Document (DOC),LSG-BED-4345206,LSG-BED-4345206,4345206,"4345206 PROC, T11558 PROCESSING (PPA MA Sites)",E2,29-Mar-22,"Procedure for CDP-Star, Crude",BED,Required (REQ),3/29/2022,LSG (LSG),Standard Operating Procedure,E2,28,Days,Event,http://wmprd.thermofisher.com:5555/ABIWSLOTUS/index.dsp?I_MATNR=o:4345206,LSG-BED-4345206-C01,Current,
Online,Document (DOC),LSG-BED-4345208,LSG-BED-4345208,4345208,"4345208 PROC, T11561 PROCESSING - AMPPD Phos (PPA MA Sites)",H1,19-Nov-21,Procedure for AMPPD Phosphonate formulation,BED,Required (REQ),11/19/2021,LSG (LSG),Standard Operating Procedure,H1,28,Days,Event,http://wmprd.thermofisher.com:5555/ABIWSLOTUS/index.dsp?I_MATNR=o:4345208,LSG-BED-4345208-C01,Current,
Online,Document (DOC),LSG-BED-4345209,LSG-BED-4345209,4345209,"4345209 PROC, T11562 PROCESSING (PPA MA Sites)",J1,19-Nov-21,Procedure for AMPPD Benzyloxy Enol Ether,BED,Required (REQ),11/19/2021,LSG (LSG),Standard Operating Procedure,J1,28,Days,Event,http://wmprd.thermofisher.com:5555/ABIWSLOTUS/index.dsp?I_MATNR=o:4345209,LSG-BED-4345209-C01,Current,
Online,Document (DOC),LSG-BED-4345214,LSG-BED-4345214,4345214,"4345214 PROC, T11568 PROCESSING (PPA MA Sites)",E2,28-Apr-22,Procedure for Bromogalactose tetraacetate formulation,BED,Required (REQ),4/28/2022,LSG (LSG),Standard Operating Procedure,E2,28,Days,Event,http://wmprd.thermofisher.com:5555/ABIWSLOTUS/index.dsp?I_MATNR=o:4345214,LSG-BED-4345214-C01,Current,
Online,Document (DOC),LSG-BED-4345215,LSG-BED-4345215,4345215,"4345215 PROC, T11570 PROCESSING (PPA MA Sites)",H,8-Oct-19,Procedure for Galacton-Star Enol Ether formulation,BED,Required (REQ),10/8/2019,LSG (LSG),Standard Operating Procedure,H,28,Days,Event,http://wmprd.thermofisher.com:5555/ABIWSLOTUS/index.dsp?I_MATNR=o:4345215,LSG-BED-4345215-C01,Current,
Online,Document (DOC),LSG-BED-4349867,LSG-BED-4349867,4349867,4349867 FUME HOOD/DRUM STATION OPERATION (PPA MA Sites),D,17-Dec-24,"The purpose of this Unit Operating Procedure (UOP) is to describe the steps that must be carried out in order to transfer material into and out of the Fume Hoods/Drum Stations.

This UOP applies specifically to the Fume Hood / Drum Station systems and the procedures needed to transfer materials to secondary containers in the hood, to waste storage tanks, and to process vessels in the POROS production area. All of the affected systems are located in the Bedford Manufacturing Facility, 2 Preston Court, Bedford, MA.",BED,Required (REQ),12/17/2024,LSG (LSG),Standard Operating Procedure,D,28,Days,Event,https://egbp.fa.us6.oraclecloud.com/fscmUI/faces/deeplink?objType=PIM_ITEM&action=EDIT&objKey=pItemNumber=4349867;pOrgId=300000001488573,LSG-BED-4349867-C01,Current,
Online,Document (DOC),LSG-BED-4351957,LSG-BED-4351957,4351957,"4351957 PROC, 4346128 PROCESSING (PPA MA Sites)",H,8-Oct-19,Procedure for Gal-Star Enol Ether Tetraacetate formulation,BED,Required (REQ),10/8/2019,LSG (LSG),Standard Operating Procedure,H,28,Days,Event,http://wmprd.thermofisher.com:5555/ABIWSLOTUS/index.dsp?I_MATNR=o:4351957,LSG-BED-4351957-C01,Current,
Online,Document (DOC),LSG-BED-4352795,LSG-BED-4352795,4352795,4352795 OPR/CLN POWDER TRANSFER SYSTEM (VL-2448) (PPA MA Sites),D,18-Dec-24,"The purpose of this Unit Operating Procedure is to define the steps, which must be carried out for the safe operation of the Powder Transfer System (PTS).

Operation of this equipment will be done by qualified Production personnel. This equipment is used to transfer POROS material between production equipment.",BED,Required (REQ),12/18/2024,LSG (LSG),Standard Operating Procedure,D,28,Days,Event,https://egbp.fa.us6.oraclecloud.com/fscmUI/faces/deeplink?objType=PIM_ITEM&action=EDIT&objKey=pItemNumber=4352795;pOrgId=300000001488573,LSG-BED-4352795-C01,Current,
Online,Document (DOC),LSG-BED-4352965,LSG-BED-4352965,4352965,"4352965 PROC,4352964 & 4352966 Processing - 31XX POP (PPA MA Sites)",X,2-May-25,Batch record for Bulk 31XX POP Polymer (P/N 4352964 & 4352966),BED,Required (REQ),5/2/2025,LSG (LSG),Standard Operating Procedure,X,28,Days,Event,https://egbp.fa.us6.oraclecloud.com/fscmUI/faces/deeplink?objType=PIM_ITEM&action=EDIT&objKey=pItemNumber=4352965;pOrgId=300000001488573,LSG-BED-4352965-C01,Updated,
Online,Document (DOC),LSG-BED-4357829,LSG-BED-4357829,4357829,"4357829 PROC,RAW MATERIAL EVALUATION (PPA MA Sites)",G,13-Mar-24,"This procedure applies to changes to purchased raw materials used in the manufacturing process, as well as OEM materials, including supplier initiated changes, changes due to supply issues and second sourcing of raw materials. This procedure is to ensure that changes to purchased raw materials and Original Equipment Manufacturer (OEM) items used at the Thermo Fisher Scientific, Life Sciences Group (LSG) Bedford site are properly tracked, evaluated, investigated and dispositioned.",BED,Required (REQ),3/13/2024,LSG (LSG),Standard Operating Procedure,G,28,Days,Event,http://wmprd.thermofisher.com:5555/ABIWSLOTUS/index.dsp?I_MATNR=o:4357829,LSG-BED-4357829-C01,Current,
Online,Document (DOC),LSG-BED-4359372,LSG-BED-4359372,4359372,"4359372 PROC, 4359335 PROCESSING (PPA MA Sites)",E,20-Jan-25,Procedure for Bulk Galacton-Plus Enol Ether formulation,BED,Required (REQ),1/20/2025,LSG (LSG),Standard Operating Procedure,E,28,Days,Event,https://egbp.fa.us6.oraclecloud.com/fscmUI/faces/deeplink?objType=PIM_ITEM&action=EDIT&objKey=pItemNumber=4359372;pOrgId=300000001488573,LSG-BED-4359372-C01,Current,
Online,Document (DOC),LSG-BED-4359373,LSG-BED-4359373,4359373,"4359373 PROC, 4359345 PROCESSING (PPA MA Sites)",C,20-Jan-25,Procedure for Bulk GAL-Plus Enol Ether Tetraacetate formulation,BED,Required (REQ),1/20/2025,LSG (LSG),Standard Operating Procedure,C,28,Days,Event,https://egbp.fa.us6.oraclecloud.com/fscmUI/faces/deeplink?objType=PIM_ITEM&action=EDIT&objKey=pItemNumber=4359373;pOrgId=300000001488573,LSG-BED-4359373-C01,Current,
Online,Document (DOC),LSG-BED-4360824,LSG-BED-4360824,4360824,"4360824 PROC, POROS 50UM HQ COATING (15KG) (PPA MA Sites)",M,16-Dec-24,Batch record for POROS HQ150 Roche processing 15 Kg (P/N 4323180),BED,Required (REQ),12/16/2024,LSG (LSG),Standard Operating Procedure,M,28,Days,Event,https://egbp.fa.us6.oraclecloud.com/fscmUI/faces/deeplink?objType=PIM_ITEM&action=EDIT&objKey=pItemNumber=4360824;pOrgId=300000001488573,LSG-BED-4360824-C01,Current,
Online,Document (DOC),LSG-BED-4362563,LSG-BED-4362563,4362563,"4362563 PROC, 4359597 PROCESSING - CDP Star/Sapphire II (PPA MA Sites)",H,31-Mar-25,Batch record for CDP Star / Sapphire-II RTU MKI Formulation,BED,Required (REQ),3/31/2025,LSG (LSG),Standard Operating Procedure,H,28,Days,Event,https://egbp.fa.us6.oraclecloud.com/fscmUI/faces/deeplink?objType=PIM_ITEM&action=EDIT&objKey=pItemNumber=4362563;pOrgId=300000001488573,LSG-BED-4362563-C01,Updated,
Online,Document (DOC),LSG-BED-4362934,LSG-BED-4362934,4362934,"4362934 PROC, T5001 PROCESSING - BDMQ (PPA MA Sites)",D,20-Jan-25,Procedure for BDMQ Solution formulation,BED,Required (REQ),1/20/2025,LSG (LSG),Standard Operating Procedure,D,28,Days,Event,https://egbp.fa.us6.oraclecloud.com/fscmUI/faces/deeplink?objType=PIM_ITEM&action=EDIT&objKey=pItemNumber=4362934;pOrgId=300000001488573,LSG-BED-4362934-C01,Current,
Online,Document (DOC),LSG-BED-4363185,LSG-BED-4363185,4363185,"4363185 FORM, HQ150 GTMAC CONCENTRATION (PPA MA Sites)",D,24-Jun-24,Calculation worksheet for GTMAC concentration by RI,BED,Required (REQ),6/24/2024,LSG (LSG),Standard Operating Procedure,D,28,Days,Event,https://egbp.fa.us6.oraclecloud.com/fscmUI/faces/deeplink?objType=PIM_ITEM&action=EDIT&objKey=pItemNumber=4363185;pOrgId=300000001488573,LSG-BED-4363185-C01,Current,
Online,Document (DOC),LSG-BED-4363186,LSG-BED-4363186,4363186,"4363186 FORM, HQ150 P-1000 CONCENTRATION (PPA MA Sites)",E,23-Oct-24,Worksheet for PEI concentration by RI,BED,Required (REQ),10/23/2024,LSG (LSG),Standard Operating Procedure,E,28,Days,Event,https://egbp.fa.us6.oraclecloud.com/fscmUI/faces/deeplink?objType=PIM_ITEM&action=EDIT&objKey=pItemNumber=4363186;pOrgId=300000001488573,LSG-BED-4363186-C01,Current,
Online,Document (DOC),LSG-BED-4363189,LSG-BED-4363189,4363189,"4363189 PROC, POROS OH150 PROCESSING (100 KG) (PPA MA Sites)",V,27-Jun-25,Batch record for OH150 processing 100 Kg (P/N 4364441),BED,Required (REQ),6/27/2025,LSG (LSG),Standard Operating Procedure,V,28,Days,Event,https://egbp.fa.us6.oraclecloud.com/fscmUI/faces/deeplink?objType=PIM_ITEM&action=EDIT&objKey=pItemNumber=4363189;pOrgId=300000001488573,LSG-BED-4363189-C01,Updated,
Online,Document (DOC),LSG-BED-4363347,LSG-BED-4363347,4363347,"4363347 PROC, T5007 Processing - TBQ Solution (PPA MA Sites)",J2,13-Aug-20,Procedure for TBQ Solution (Polymer) formulation,BED,Required (REQ),8/13/2020,LSG (LSG),Standard Operating Procedure,J2,28,Days,Event,http://wmprd.thermofisher.com:5555/ABIWSLOTUS/index.dsp?I_MATNR=o:4363347,LSG-BED-4363347-C01,Current,
Online,Document (DOC),LSG-BED-4363753,LSG-BED-4363753,4363753,"4363753 PROC,4363752 4363783 4363785 PROCESSING - 3130 POP Polymer (PPA MA Sites)",N,19-Nov-24,"Batch record for 3130 POP Polymer 3.5mL (P/N 4363752, 4363783 & 4363785)",BED,Required (REQ),11/19/2024,LSG (LSG),Standard Operating Procedure,N,28,Days,Event,https://egbp.fa.us6.oraclecloud.com/fscmUI/faces/deeplink?objType=PIM_ITEM&action=EDIT&objKey=pItemNumber=4363753;pOrgId=300000001488573,LSG-BED-4363753-C01,Current,
Online,Document (DOC),LSG-BED-4364099,LSG-BED-4364099,4364099,"4364099 FORM, AQUEOUS BUFFER A,B,C, AND E PREP (PPA MA Sites)",K1,5-Jan-23,"Batch record for Aqueous Buffer A, B, C and E preparation (BED9014)",BED,Required (REQ),1/5/2023,LSG (LSG),Standard Operating Procedure,K1,28,Days,Event,http://wmprd.thermofisher.com:5555/ABIWSLOTUS/index.dsp?I_MATNR=o:4364099,LSG-BED-4364099-C01,Current,
Online,Document (DOC),LSG-BED-4366169,LSG-BED-4366169,4366169,"4366169 FORM, LOCK OUT TAG OUT POROS PRODUCTS (PPA MA Sites)",B1,2-Mar-21,"Pilot Plant lock out tag out form for general use.

NOTE: Refer to specific UOP and SOP 4366170 for LOTO instructions and
energy source locations.",BED,Required (REQ),3/2/2021,LSG (LSG),Standard Operating Procedure,B1,28,Days,Event,http://wmprd.thermofisher.com:5555/ABIWSLOTUS/index.dsp?I_MATNR=o:4366169,LSG-BED-4366169-C01,Current,
Online,Document (DOC),LSG-BED-4366170,LSG-BED-4366170,4366170,4366170 LOTO POROS/Pilot (PPA MA Sites),K,4-Sep-24,"The purpose of this procedure is to detail the LOCKOUT/TAGOUT process performed in the
POROS Production suite, the XTERMINATOR Production suite, and the Pilot Plant at 2 Preston
Ct.Proper execution of this procedure will ensure that LO/TO is being performed in accordance with
all Thermo Fisher Scientific policies and corporate procedure, as well as any applicable laws or
regulations.",BED,Required (REQ),9/4/2024,LSG (LSG),Standard Operating Procedure,K,28,Days,Event,https://egbp.fa.us6.oraclecloud.com/fscmUI/faces/deeplink?objType=PIM_ITEM&action=EDIT&objKey=pItemNumber=4366170;pOrgId=300000001488573,LSG-BED-4366170-C01,Current,
