Curriculum ID,Curriculum Title,Security Domain,Curriculum Type,Basis Date,Subsequent Failures Reset Curriculum Status,Active,Curriculum Description
CUR-LSG-BED-COLP-0011,Flow Packing Method (Bedford Column Packing),BED,,,No,Yes,
CUR-LSG-BED-COLP-0012,Generation of Serial #s (Bedford Column Packing),BED,,,No,Yes,
CUR-LSG-BED-COLP-0013,Label Printing (Bedford Column Packing),BED,,,No,Yes,
CUR-LSG-BED-COLP-0014,Perkin Elmer Operation (Bedford Column Packing),BED,,,No,Yes,
CUR-LSG-BED-COLP-0015,POROS Bulk  Packaging (Bedford Column Packing),BED,,,No,Yes,
CUR-LSG-BED-COLP-0016,Slurry Resin Prep (Bedford Column Packing),BED,,,No,Yes,
CUR-LSG-BED-COLP-0017,Wash Resin Prep (Bedford Column Packing),BED,,,No,Yes,
CUR-LSG-BED-DIST-0001,AES Direct/ACE (Bedford Distribution),BED,,,No,Yes,Filing for export documents over $2500
CUR-LSG-BED-DIST-0002,Bedford/Chelmsford Product Transfer (Bedford Distribution),BED,,,No,Yes,Training covers the product transfer process between Bedford and Chelmsford facility warehouses.
CUR-LSG-BED-DIST-0003,Carrier Outbound Processes (Bedford Distribution),BED,,,No,Yes,Processing outbound orders with carriers.  Note Carriers list may change if Global Transportation approves new forwarding company
CUR-LSG-BED-DIST-0004,CHM Materials Staging Process (Bedford Distribution),BED,,,No,Yes,"Training consists of an overview of the daily materials staging process, why this process is being implemented, how to use the pick/return form and roles and responsibilities of MFG, Distribution and Supervisor/Team lead."
CUR-LSG-BED-DIST-0005,Consumable RA Receipts (Bedford Distribution),BED,,,No,Yes,Receive RA's from customers into SAP
CUR-LSG-BED-DIST-0006,Cycle Count Adjustment Form (Bedford Distribution),BED,,,No,Yes,Who and what is needed for any cycle count adjustment made within the ERP systems
CUR-LSG-BED-DIST-0007,Cycle Count IM (Bedford Distribution),BED,,,No,Yes,Counting SAP inventory managed storage locations
CUR-LSG-BED-DIST-0008,Cycle Count WM (Bedford Distribution),BED,,,No,Yes,Counting SAP warehouse managed storage locations
CUR-LSG-BED-DIST-0009,Delivery Pick List (Bedford Distribution),BED,,,No,Yes,"SAP customer delivery requirements of Bin location, SKU, lot quantity to be picked and shipping conditions for the product shipping"
CUR-LSG-BED-DIST-0010,Distribution Manager Overview (Bedford Distribution),BED,,,No,Yes,"Training consists of all Distribution team procedures, forms and learn it training materials to understand the work being performed by the team."
CUR-LSG-BED-DIST-0011,Electric Pallet Jack (Bedford Distribution),BED,,,No,Yes,Safety and proper use of the electric pallet jack
CUR-LSG-BED-DIST-0012,Forklift (Bedford Distribution),BED,,,No,Yes,Safety and proper use of the forklift
CUR-LSG-BED-DIST-0013,Hazardous Bulk Tank Farm Receipts (Bedford) (Bedford Distribution),BED,,,No,Yes,Receiving solvent bulk materials into the tank farm. Training for Hazardous Bulk Tank Farm Receipts at the Bedford 2 Preston Court location
CUR-LSG-BED-DIST-0014,Hazardous Bulk Tank Farm Receipts (CHM),BED,,,No,Yes,Training for Hazardous Bulk Tank Farm Receipts at the Chelmsford 220 Mill Rd location
CUR-LSG-BED-DIST-0015,Man Lift (WAV)/Sprint 2.0 (Bedford Distribution),BED,,,No,Yes,Safety and proper use of the WAV
CUR-LSG-BED-DIST-0016,Material Bin Status (Bedford Distribution),BED,,,No,Yes,Checking the bins stock where material is being stored within the warehouse or labs
CUR-LSG-BED-DIST-0017,Material Transfer Receipt (Bedford Distribution),BED,,,No,Yes,Transferring materials from one storage location to another with SAP
CUR-LSG-BED-DIST-0018,Material Transfer Requests (Bedford Distribution),BED,,,No,Yes,Request materials to be transferred by another department or to another site
CUR-LSG-BED-DIST-0019,New Distribution Employee (Bedford Distribution),BED,,,No,Yes,Onboarding trainings
CUR-LSG-BED-DIST-0020,New Distribution Employee EHS Checklist (Bedford Distribution),BED,,,No,Yes,Classroom consists as a tour with assigned Distribution buddy to complete the EHS Distribution safety checklist specific to job role.
CUR-LSG-BED-DIST-0021,Omni Logistics,BED,,,No,Yes,Shipping large orders or miscellaneous shipments with the carrier Omni Logisitics
CUR-LSG-BED-DIST-0022,Open Delivery Monitor (Bedford Distribution),BED,,,No,Yes,SAP report showing open customer deliveries to be picked and posted
CUR-LSG-BED-DIST-0023,Outbound Process Misc. Shipments (Bedford Distribution),BED,,,No,Yes,Shipping miscellaneous shipments via FedEx using the FedEx Ship Manager system. Non-ERP deliveries
CUR-LSG-BED-DIST-0024,Outbound Process SAP Orders (Bedford Distribution),BED,,,No,Yes,Processing outbound delivery orders from SAP.
CUR-LSG-BED-DIST-0025,Pactive Air Bubble (Bedford Distribution),BED,,,No,Yes,Safety and proper use of the bubble machine
CUR-LSG-BED-DIST-0026,Shipping Process (General) (Bedford Distribution),BED,,,No,Yes,Overview of the shipping process
CUR-LSG-BED-DIST-0027,Vendor Purchase Order Receipts (Bedford Distribution),BED,,,No,Yes,Receipts of purchase orders
CUR-LSG-BED-DIST-0028,ZAGE (Aged Inventory) (Bedford Distribution),BED,,,No,Yes,Process for handling aged inventory materials.
CUR-LSG-BED-DIST-0029,CHM Dock Lock Operator (Bedford Distribution),BED,,,No,Yes,"How to operate the Dock Lock System and safely unload/load items from truck in Chelmsford, MA."
CUR-LSG-BED-DIST-0030,New Staging and Inventory Control Employee (Bedford Distribution),BED,,,No,Yes,"Onboarding training items collection for inventory control team.
"
CUR-LSG-BED-DIST-5001,Distribution Team Intro Curriculum (Bedford POROS),BED,,,No,Yes,Curriculum covers Distribution basic trainings all department employees will need to take following onboarding training completion. Assessment of performance following completion will assist in determining specialty training path curriculums assigned for next steps in development.
CUR-LSG-BED-DIST-5002,Distribution Lift Curriculum (Bedford Distribution),BED,,,No,Yes,Curriculum covers use of mechanical lift vehicles (WAV/Sprint) and drum hauler operation through EHS classroom training as well as on the floor department training.
CUR-LSG-BED-DIST-5003,Forklift Operation Curriculum (Bedford Distribution),BED,,,No,Yes,Curriculum covers EHS and on the floor department training for forklift operation.
CUR-LSG-BED-DIST-5004,Cycle Counting Curriculum (Bedford Distribution),BED,,,No,Yes,Curriculum covers cycle counting team tasks and program.
CUR-LSG-BED-DIST-5005,Receiving Curriculum (Bedford Distribution),BED,,,No,Yes,Curriculum covers basic receiving responsibilities.
CUR-LSG-BED-DIST-5006,Outbound Pre-requisite Curriculum (Bedford Distribution),BED,,,No,Yes,Curriculum covers DOT and IATA training - both of which are required for shipping to fully understand responsibilities due to regulatory and legal requirements. May have in-person or virtual options for completion.
CUR-LSG-BED-DIST-5007,Outbound Curriculum (Bedford Distribution),BED,,,No,Yes,"Curriculum covers outbound responsibilities, including specific carrier requirements."
CUR-LSG-BED-DIST-5008,BED Advanced Receiving Curriculum (Bedford Distribution),BED,,,No,Yes,Curriculum covers bulk tank receipts and consumable RA receipts training at the Bedford MA location.
CUR-LSG-BED-DIST-5009,Distribution Advanced Tasks Curriculum (Bedford Distribution),BED,,,No,Yes,Curriculum covers use of Trackwise for issue reporting and SAP training for charging out materials by cost center.
CUR-LSG-BED-DIST-5010,Distribution Supervisor/Manager Curriculum (Bedford Distribution),BED,,,No,Yes,Curriculum covers overview of distribution procedures and practices.
CUR-LSG-BED-DIST-5011,CHM Advanced Receiving Curriculum (Bedford Distribution),BED,,,No,Yes,Curriculum covers bulk tank receipts and consumable RA receipts training at the Chelmsford MA location.
CUR-LSG-BED-DIST-5012,Inventory Team Intro Curriculum (Bedford Inventory Control),BED,,,No,Yes,"Curriculum covers Staging and Inventory Control basic trainings all department employees will need to take following onboarding training completion. Assessment of performance following completion will assist in determining specialty training path curriculums assigned for next steps in development.

"
CUR-LSG-BED-EHS-0001,2 Preston Court Orientation Training (Bedford EHS),BED,,,No,Yes,This training is an overview of safety systems in place at the 2 Preston Court building. This training is required for all employees who work in the building or have the potential to work in the building
CUR-LSG-BED-EHS-0002,220 Mill Road Chelmsford Orientation (Bedford EHS),BED,,,No,Yes,This training is an overview of safety systems in place at the 220 Mill Rd Chelmsford building. This training is required for all employees who work in the building or have the potential to work in the building.
CUR-LSG-BED-EHS-0003,35 Wiggins EHS Checklist (Bedford EHS),BED,,,No,Yes,To be completed by general staff located at 35 Wiggins Ave.
CUR-LSG-BED-EHS-0004,Area Supervisor/Manager (Bedford EHS),BED,,,No,Yes,A series of EHS documents that supervisors are required to review.
CUR-LSG-BED-EHS-0005,Back Safety (Bedford EHS),BED,,,No,Yes,Optional training for employees who wish to learn a safe method of lifting to prevent back injuries
CUR-LSG-BED-EHS-0006,BED/CHM Condenser Annual Refresher (Bedford EHS),BED,,,No,Yes,"Review Vent Condenser at 2 Preston Court and CHM 220 Mill Training Learn It Powerpoint presentation with an annual refresher training with POROS, Pilot Plant, and Maintenance Technicians during the annual EH&S refresher training sessions. It will be an in person classroom training that is required for the personnel working in these areas. Main talking points will be what to do in the event of a vent condenser temperature excursion as well as what to do in the case of a rupture disk burst."
CUR-LSG-BED-EHS-0007,Behavior Based Safety Observer (Bedford EHS),BED,,,No,Yes,For those that will be conducting behavior-based safety observations to identify at risk behaviors and promote safe behaviors.
CUR-LSG-BED-EHS-0008,"Biosafety Training (Classroom, Annual) (Bedford EHS)",BED,,,No,Yes,"This annual training is designed to eliminate or minimize the occupational exposure of employees to human blood and other potentially infectious materials. Employees who may require this training include but are not limited to Lab Personnel, shipper / receivers of packages containing blood or Other Potentially infectious materials or First aid / Emergency response personnel. This is a beginner course."
CUR-LSG-BED-EHS-0009,Bulk Storage Tank Operations (Bedford EHS),BED,,,No,Yes,A series of documents required to review prior to unloading bulk hazardous waste from the tank farm.
CUR-LSG-BED-EHS-0010,CHM - SPCC Discharge Prevention (Bedford EHS),BED,,,No,Yes,"Training intended for facility and maintenance employees. Training will cover:


	Introduction to the Oil Spill Prevention, Control, and Countermeasures (SPCC) Plan
	Regulatory applicability, requirements, and components of the SPCC
	No Exposure Certification
	Oil storage description and deliveries
	Oil storage inspections and recordkeeping
	Spill response procedures"
CUR-LSG-BED-EHS-0011,Compressed Gas Training (Bedford EHS),BED,,,No,Yes,Required for employees who will need to transport compressed gas cylinders.
CUR-LSG-BED-EHS-0012,"Confined Space Training (Classroom, Annual) (Bedford EHS)",BED,,,No,Yes,"This is the annual refresher for confined space training. The objective of this course is to review responsibilities of the Area Supervisor, Authorized Attendance, Authorized Entrant, Entry Supervisor, and EHS Department. It reviews all safety requirements to complete a confined space permit. No employee is authorized to complete a confined space entry without this training.
"
CUR-LSG-BED-EHS-0013,Contractor Safety,BED,,,No,Yes,"Required for review if responsible to oversee contractors.
"
CUR-LSG-BED-EHS-0014,CPR/1st Aid (Bedford EHS),BED,,,No,Yes,"Optional Training Valid for 2 years. Once training has been completed, employee will be added to emergency response call list.
"
CUR-LSG-BED-EHS-0015,Cranes/Hoists Training (Bedford EHS),BED,,,No,Yes,"This training consists of a Learn It - training content review followed by a facilitated quiz for operating hoists.
"
CUR-LSG-BED-EHS-0016,DOT Training (Bedford EHS),BED,,,No,Yes,"Department of Transportation Training, given by external vendor. Valid for 3 years. DC employees should consider taking this training.
"
CUR-LSG-BED-EHS-0017,Drum Dolly Use/Operation (Bedford EHS),BED,,,No,Yes,"Reviews the use of Steel and Plastic dollies, their weight limits, and what types of drums and equipment can be stored on what type of dollies.
"
CUR-LSG-BED-EHS-0018,Drum Hauler Operation (Bedford EHS),BED,,,No,Yes,"Classroom training to consist of overview of operation as well as test drive session for hands on experience. Use link for online training video. This training will require refresher training.
"
CUR-LSG-BED-EHS-0019,Drum Lifting to Dolly/Pallet (Bedford EHS),BED,,,No,Yes,"""How to inspect, lift and lower a 55 gallon drum using the drum lifting device in the loading dock/shipping and receiving area of 2 Preston Court
How to secure the lifting device to the drum lip""
"
CUR-LSG-BED-EHS-0020,EHS LO/TO (Annual Refresher) (Bedford EHS),BED,,,No,Yes,"The purpose of this refresher training is to recognize situation where LOTO is needed, understand the LOTO policy, Select the appropriate LOTO Devices, Conduct LOTO Operations, and understand the rules for Safe LOTO.
"
CUR-LSG-BED-EHS-0021,EHS Manager/Specialist (Bedford EHS),BED,,,No,Yes,"A series of EHS Documents required for an EHS Specialist to review.
"
CUR-LSG-BED-EHS-0022,Energized Electrical Safety NFPA70e (Bedford EHS),BED,,,No,Yes,"Required when employees intend to work on live electrical equipment on site. (TF employees should require contractor for live electrical work). Target audience is facilities and maintenance, optional for EHS. Refresher every 2 years. This course is often delivered by outside vendors such as TIGER."
CUR-LSG-BED-EHS-0023,Fall Protection Training (Bedford EHS),BED,,,No,Yes,"Fall Protection and Ladder Safety is required for employees that intend to use fall arrest equipment or ladders at the facility.
"
CUR-LSG-BED-EHS-0024,Forklift Training (Bedford EHS),BED,,,No,Yes,"Objectives: INTRODUCE TRAINING AND REGULATORY REQUIREMENTS, DISCUSS BASIC FORKLIFT OPERATING PRINCIPLES, DISCUSS FORKLIFT SAFETY REQUIREMENTS, DISCUSS HAZARDOUS DRIVING SITUATIONS, and Finally CONDUCT A WRITTEN AND DRIVING PROFICIENCY TEST
"
CUR-LSG-BED-EHS-0025,Hazard Communication (Bedford EHS),BED,,,No,Yes,"""Hazard Communication refers to the methods and other materials the company uses to communicate the potential health, safety, and environmental hazards of workplace chemicals to its employees, contractors, and visitors. This program also includes the methods used to prevent exposure to hazardous chemicals.

26May21, """"New Employee Safety Training(General) now satisfies the Hazard Communication Requirement.""
"
CUR-LSG-BED-EHS-0026,Hazardous Chemical Storage (Bedford EHS),BED,,,No,Yes,"Covers the general storage requirements for chemical storage in lab and manufacturing space at the company.
"
CUR-LSG-BED-EHS-0027,"Hazardous Waste (Classroom, Annual) (Bedford EHS)",BED,,,No,Yes,"To be completed during your standard annual refresher trainings.
"
CUR-LSG-BED-EHS-0028,Hazardous Waste Handling - POROS Operator (Bedford EHS),BED,,,No,Yes,"This training is required for POROS Operators who will be handling hazardous waste.
"
CUR-LSG-BED-EHS-0029,Hazardous Waste Security Plan (Bedford EHS),BED,,,No,Yes,"Annual R&A training for EHS and DC employees.This plan describes procedures developed by Thermo Fisher Scientific (TF) for managing the security of containers of hazardous waste and hazardous products.
"
CUR-LSG-BED-EHS-0030,Hot Work (Bedford EHS),BED,,,No,Yes,"This R&A is required for employees who intend to perform hot work or fill out hot work permits.
"
CUR-LSG-BED-EHS-0031,IATA Training (Bedford EHS),BED,,,No,Yes,"This is an external training given by a vendor. DC employees should consider taking this training.
"
CUR-LSG-BED-EHS-0032,Lifting Equipment Training (Bedford EHS),BED,,,No,Yes,"The proper use of lifting equipment available onsite
"
CUR-LSG-BED-EHS-0033,Conducting JHA/JSA (Job Hazards Analysis) (Bedford EHS),BED,,,No,Yes,"Training intended for EHS team only as optional. Recommended to complete every 2 years to continue certification. Training facilitated by outside vendors, such as TIGER training."
CUR-LSG-BED-EHS-0034,Management of Change Process (MOC) (Bedford EHS),BED,,,No,Yes,"This training is to cover the process flow of the Management of Change (MOC) process on site. Important for all employees that manage projects or handle new equipment/instrument installs or requesting change to how we currently do things.
"
CUR-LSG-BED-EHS-0035,Mercury Handling Training (Bedford EHS),BED,,,No,Yes,"To cover safe handling of mercury and working with Porosimeter (CHM focus). Required training for access to lab.
"
CUR-LSG-BED-EHS-0036,New Employee Safety Training(General) (Bedford EHS),BED,,,No,Yes,"To be assigned to all new employees. Effective 26May21, this training satisfies OSHA Lab Standard
"
CUR-LSG-BED-EHS-0037,New/Transfer Employee EHS Checklist (Bedford EHS),BED,,,No,Yes,"To be completed by New or Transfer employees in general roles. Lab and production area employees must complete area specific EHS Checklist.
"
CUR-LSG-BED-EHS-0038,Office Safety Training (Bedford EHS),BED,,,No,Yes,"An optional training that will cover safety programs that may relate to a office-based employee.
"
CUR-LSG-BED-EHS-0039,OSHA Emergency Response 24 HR (Bedford EHS),BED,,,No,Yes,"Spill Team Training - 24 hour (TIGER Training)
"
CUR-LSG-BED-EHS-0040,OSHA Emergency Response 8 HR Refresher (Bedford EHS),BED,,,No,Yes,"Spill team 8 HR refresher training. Note: 24 HR training required prior to being assigned refresher training. (TIGER training)
"
CUR-LSG-BED-EHS-0041,OSHA Lab Standard (Bedford EHS),BED,,,No,Yes,"To be assigned to all employees who intend to work in a lab or manufacturing space. The training will cover general safety requirements for lab employees.
"
CUR-LSG-BED-EHS-0042,Powered Personal Lift Training (Bedford EHS),BED,,,No,Yes,"This is a required training for employees who intend to use the wave and Sprint 2.0. A demonstration on the floor will be required.
"
CUR-LSG-BED-EHS-0043,Process Safety Management (Bedford EHS),BED,,,No,Yes,"Although the Bedford facility does not fall under the OSHA PSM standard, this is an awareness training for employees that will be working at the 2 Preston Court facility on what Process Safety Management is.
"
CUR-LSG-BED-EHS-0044,Pulmonary Function Test (PFT) (Bedford EHS),BED,,,No,Yes,"""Needs to be completed prior to initial Fit Test. You can schedule a Pulmonary Function Test through Mt. Auburn: 
Occupational Health Services – Mount Auburn Hospital 
725 Concord Ave, Cambridge, MA 02138
(617) 354-0546""
"
CUR-LSG-BED-EHS-0045,Respirator Fit Test (Bedford EHS),BED,,,No,Yes,"Respirator fit tests are required to be completed on an annual basis. Please make sure you shave if necessary as the respirator needs to have a tight seal.
"
CUR-LSG-BED-EHS-0046,Respiratory Protection (Classroom) (Bedford EHS),BED,,,No,Yes,"The purpose of this training is to review safe site respiratory protection within general guidelines. In addition to this training, employees are required to complete a Respiratory Fit Test, and Pulmonary function test if they haven't already done so.
"
CUR-LSG-BED-EHS-0047,Onsite Management Safety Training (Bedford EHS),BED,,,No,Yes,"This classroom training will cover supervisor safety responsibilities for their direct reports. The training will cover site wide policies, incident investigation training, reporting requirements, etc.
"
CUR-LSG-BED-EHS-0048,Waste Station Best Practices (Bedford EHS),BED,,,No,Yes,This training is a best practice share on the operation and maintenance of waste stations in the manufacturing suites. It is necessary to follow these guidelines to stay within compliance of regulatory agencies.
CUR-LSG-BED-EHS-0049,Waste Storage Tank Operation (Bedford EHS),BED,,,No,Yes,An R&A Requirement for EHS reps to unload the hazardous waste tanks at 2 Preston Court and 220 Mill
CUR-LSG-BED-EHS-0050,Workplace Exposure Assessment (Bedford EHS),BED,,,No,Yes,
CUR-LSG-BED-EHS-0051,RCRA (Federal) Haz Waste Shipping (Bedford EHS),BED,,,No,Yes,"Training target audience is for EHS team and select distribution, maintenance and production employees that will be involved in Haz waste shipping and tank farm inspections; Annual training facilitated by outside vendors. RCRA (federal) stands for Resource Conservation Recovery Act. "
CUR-LSG-BED-EHS-0052,Performing Ergonomic Assessments (Bedford EHS),BED,,,No,Yes,"""Training intended for EHS team only as optional. This topic covers ergonomics, or the science of fitting a job to the worker performing that job. Ergonomic hazards include repetitive stress injuries, carpal tunnel syndrome, and other musculoskeletal disorders (MSDs).

The goal of ergonomics is to reduce a worker’s exposure to MSD risk factors by changing the design of a workstation or the way a job is performed, allowing workers to rotate through different jobs, or providing personal protective equipment (PPE). Although there is currently no specific OSHA standard for ergonomics, employers have a duty to address ergonomic issues under the General Duty Clause of the Occupational Safety and Health Act."""
CUR-LSG-BED-EHS-0053,OSHA Competent Person Fall Protection Training (Bedford EHS),BED,,31/Dec/2017 07:00 PM America/Indianapolis,No,Yes,"""Competent Person: Fall Protection provides comprehensive online training to become an OSHA-compliant competent person (CP) in the construction industry. These designated employees are tasked with identifying, controlling and correcting fall hazards in the workplace.

Fall protection is crucial for maintaining a safe jobsite and preventing falls that could result in serious injury or death. Our 100% online course satisfies OSHA's fall protection requirements for construction sites. Students can train at their own pace and will receive a certificate of completion after finishing the course. Certificate is to be turned in to the site Training Admin to receive credit in SFLMS and have on file."""
CUR-LSG-BED-FAC-0003,Air Compressors & Handling Systems (Bedford Facilities),BED,,,No,Yes,
CUR-LSG-BED-FAC-0006,Chilled Water Distribuiton (Bedford Facilities),BED,,,No,Yes,
CUR-LSG-BED-FAC-0009,Cold Rooms/Fridges/Freezers (Bedford Facilities),BED,,,No,Yes,Documents pertaining to operation and maintenance to Bedford Campus cold storage.
CUR-LSG-BED-FAC-0011,Facilities Coordinator (Bedford Facilities),BED,,,No,Yes,
CUR-LSG-BED-FAC-0012,Facilities New Employee (Bedford Facilities),BED,,,No,Yes,
CUR-LSG-BED-FAC-0013,Monthly Safety Inspections (Bedford Facilities),BED,,,No,Yes,"Training should cover flushing of eyewash/shower stations, fire extinguisher inspection and filling out inspection tags and paperwork"
CUR-LSG-BED-FAC-0014,O&M of DI Water System (Bedford Facilities),BED,,,No,Yes,
CUR-LSG-BED-FAC-0015,O&M of Fume Hoods (Bedford Facilities),BED,,,No,Yes,Overview of operations and maintenance of fume hoods for facilities department.
CUR-LSG-BED-FAC-0016,Pest Control (Bedford Facilities),BED,,,No,Yes,
CUR-LSG-BED-FAC-0017,Shutdown & Release Procedure (Bedford Facilities),BED,,,No,Yes,"Procedure established describing the responsibilities and activities that are required to be documented for a plant shutdown, as well as the requirements for returning the facility over to manufacturing after a shut down, with a process for QA approval."
CUR-LSG-BED-FAC-0018,BED 2 Preston Flammable Cold Room (Bedford Facilities),BED,,,No,Yes,Overview of use and expectations with release of 2 Preston Court Flammable cold room 42B.
CUR-LSG-BED-FAC-5001,BED Facilities Team Intro Curriculum (Bedford Facilities),BED,,,No,Yes,Curriculum covers Facilities basic trainings all department employees will need to take following onboarding training completion. Assessment of performance following completion will assist in determining specialty training path curriculums assigned for next steps in development.
CUR-LSG-BED-FAC-5002,CHM Facilities Team Intro Curriculum (Bedford Facilities),BED,,,No,Yes,Curriculum covers Facilities basic trainings all department employees will need to take following onboarding training completion. Assessment of performance following completion will assist in determining specialty training path curriculums assigned for next steps in development.
CUR-LSG-BED-FAC-5003,Facilities Coordinator Curriculum (Bedford Facilities),BED,,,No,Yes,"Trainings specific to Facilities coordinators job responsibilities.
"
CUR-LSG-BED-FACB-0001,2 Preston Utilities - Bulk Operations (Bedford Facilities),BED,,,No,Yes,High level overview of utilities used for manufacturing technicians. Training consists of a group of Learn Its that require completion of all associated certifications.
CUR-LSG-BED-FACB-0004,Bedford Facility Utilities,BED,,,No,Yes,Collection of documents pertaining to the utilities at Bedford MA location for Facilities team members
CUR-LSG-BED-FACB-0010,Daily Building Checks 35 Wiggins/2 Preston Court (Bedford Facilities),BED,,,No,Yes,
CUR-LSG-BED-FACC-0002,220 Mill Rd Utilities - Bulk Operations (Bedford Facilities),BED,,,No,Yes,Training role for 220 Mill Rd Chelmsford facility utilities overview for manufacturing technicians.
CUR-LSG-BED-FACC-0005,Chelmsford Facility Utilities (Bedford Facilities),BED,,,No,Yes,Collection of documents pertaining to the utilities at Chelmsford MA 220 Mill Rd location for Facilities team members
CUR-LSG-BED-FACC-0007,CHM Daily Routine Building Checks (Bedford Facilities),BED,,,No,Yes,Daily rounds checklist for the Chelmsford 220 Mill Rd site to be performed by facilities staff.
CUR-LSG-BED-FACC-0008,CHM Facilities Plant Restart Procedure (Bedford Facilities),BED,,,No,Yes,Outline of the standardized order of operations to return various plant utilities and systems to normal operation at 220 Mill Road.
CUR-LSG-BED-GEN-0001,Add New SKU to Supplier (SAP) (Bedford General),BED,,,No,Yes,"This procedure establishes the process for the generation of ideas, the Verification and Validation (V&V) process, and the external notification to customers of changes to products."
CUR-LSG-BED-GEN-0002,Advanced Design of Experiment (DOE) (Bedford General),BED,,,No,Yes,Offered by external vendor QSG as part of the MA state grant program. Limited availability.
CUR-LSG-BED-GEN-0003,Advanced Process Validation (Bedford General),BED,,,No,Yes,External vendor led training. Offered thru MA state grant. Limited availability - inquire before assigning or requesting.
