Item,Title,Security Domain ID,Assignment Type,Method ID,Source ID,Active,Safety Related,Create Date,Revision Number,Approved,Approval Date,Duration,Credit Hours,CPE Hours,Contact Hours,Description,SKU,Production Ready,Process ID,Approval Required,Initial Period,Initial Number,Initial Basis,Retraining Period,Retraining Number,Retraining Basis,Rating,Course ID
DOC LSG-BED-100026477 (Rev C(1) - 17/Sep/2024 11:00 AM America/Indianapolis),"100026477 PROC, 4457005 PROCESSING - CDP-Star Precip(PPA MA Campus)",BED,REQ,,,Yes,No,8-Apr-25,C(1),No,17-Sep-24,,,,,"Procedure for CDP-Star Precipitate Solution (12.4 mg/mL) in 0.1M AMP, unbuffered",SKU-1674776,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-100027610 (Rev F1 - 25/Feb/2022 10:00 AM America/Indianapolis),100027610 SPA450 Processing (PPA MA Campus),BED,REQ,,,Yes,No,8-Apr-25,F1,No,25-Feb-22,,,,,Batch record for POROS SPA450 coupling 2.5Kg (P/N 100026179),SKU-1674777,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-100027852 (Rev E1 - 02/May/2023 11:00 AM America/Indianapolis),"100027852 FORM,4400898 IN-PROCESS SYSMEX (PPA MA Campus)",BED,REQ,,,Yes,No,8-Apr-25,E1,No,2-May-23,,,,,"Includes instructions, plate layout, raw data in process and analysis in process tabs",SKU-1674778,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-100028079 (Rev D - 26/Dec/2023 10:00 AM America/Indianapolis),"100028079 SOP,ON-BEAD CDI UV TEST METHOD (PPA MA Campus)",BED,REQ,,,Yes,No,8-Apr-25,D,No,26-Dec-23,,,,,This SOP describes the procedure used to quantify CDI density by UV on POROS beads.The test should be run on POROS Capture Select AAV batches as a part of the product test protocol.,SKU-1674779,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-100028080 (Rev B - 26/Dec/2023 10:00 AM America/Indianapolis),"100028080 FORM, ON-BEAD CDI UV TEST (PPA MA Campus)",BED,REQ,,,Yes,No,8-Apr-25,B,No,26-Dec-23,,,,,Refer to SOP 100028079 for use,SKU-1674780,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-100028081 (Rev K - 29/Sep/2023 11:00 AM America/Indianapolis),"100028081 SOP, BCA COUPLED PROTEIN TEST (PPA MA Campus)",BED,REQ,,,Yes,No,8-Apr-25,K,No,29-Sep-23,,,,,"This SOP describes the test procedure for measuring the amount of protein immobilized on a coupled affinity resin with the bicinchoninic acid (BCA) assay.The test should be run on all POROS Affinity resins, such as CaptureSelect AAV9 and AAV8 as a part of the Quality Control departments test protocol to determine batch acceptability (with comparison to appropriate specification sheets).",SKU-1674781,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-100028082 (Rev L - 29/Sep/2023 11:00 AM America/Indianapolis),"100028082 FORM, BCA COUPLED PROTEIN TEST (PPA MA Campus)",BED,REQ,,,Yes,No,8-Apr-25,L,No,29-Sep-23,,,,,Refer to SOP 100028081 for use,SKU-1674782,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-100028286 (Rev B - 17/Dec/2025 07:00 PM America/Indianapolis),"100028286 UOP, VWR Circulating Chiller (PPA MA Campus)",BED,REQ,,,Yes,No,7-Apr-25,B,No,17-Dec-25,,,,,The purpose of this document is to define the procedure required to operate and clean the VWRAdvanced Digital Controller Refrigerated/Heated Circulating Chiller (Model No: 89202-978AD07R-40-V11B).,SKU-1674783,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-100029983 (Rev A2 - 25/Mar/2022 11:00 AM America/Indianapolis),100029983 DELTA V USER REQUIREMENTS SPEC (PPA MA Sites),BED,REQ,,,Yes,No,8-Apr-25,A2,No,25-Mar-22,,,,,Delta V User Requirement Specification Manual,SKU-1674784,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-100030043 (Rev B - 17/Dec/2024 10:00 AM America/Indianapolis),100030043 DELTA V SYSTEM REQUIREMENT SPEC (PPA MA Campus),BED,REQ,,,Yes,No,8-Apr-25,B,No,17-Dec-24,,,,,"The System Requirement Specification (SRS) describes the mid-level requirements, from a system perspective, that are required to meet the quality, business and regulatory compliance needs of Thermo Fisher Scientific.This document will define the SRS associated with the Bedford campus implementation of Emerson Process Management DeltaV (Delta V).Since this is 3rd party software, the specifications will not detail out of the box features and functions but rather focus on specific requirements and/or configuration changes needed for the Bedford campus.1. The system requirements defined in this document are designed for the implementation of the Delta V application at the Bedford campus.2. The SRS is mid-level in nature and defines the mid-level requirements of intended functionality that will be achieved by implementing the Delta V, subsequently referred to in this document as the system.3. The System Requirement Specification (SRS) includes trace-ability from each requirement back to the Delta V User Requirement Specification (URS). When each system requirement linked to a user requirement has been proven through testing executed in the qualification protocols the correlating user requirement is also considered to be proved based on the same results.4. The numbering system used to define each SRS statement is for tracking and trace-ability purposes only. The numbers are not intended to be sequential or ordered.",SKU-1674785,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-100030793 (Rev J - 06/Nov/2023 10:00 AM America/Indianapolis),100030793 Oligo dT - Moderna Custom 10 L Processing (PPA MA Campus),BED,REQ,,,Yes,No,8-Apr-25,J,No,6-Nov-23,,,,,Batch record for POROS OLIGO dT 2.5Kg Coating (P/N 100030790),SKU-1674786,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-100030930 (Rev B - 17/Dec/2025 07:00 PM America/Indianapolis),100030930 LO/TO POROS POLY REACTOR V2110 (PPA MA Campus),BED,REQ,,,Yes,No,7-Apr-25,B,No,17-Dec-25,,,,,"The purpose of this document is to detail the steps required to perform Lock Out and Tag Out (LO/TO) on the POROS 40 Gallon Polymerization Reactor (V-2110), in accordance with OSHA 29CFR 1910.147 requirements.All trained production personnel performing any function that requires the use of LO/TO for V-2110 shall utilize this procedure.",SKU-1674787,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-100031055 (Rev B - 23/Oct/2023 11:00 AM America/Indianapolis),100031055 1.0m2 Rosenmund Nutsche Operation and Cleaning (V-2560) (PPA MA Sites),BED,REQ,,,Yes,No,8-Apr-25,B,No,23-Oct-23,,,,,UOP for V-2560,SKU-1674788,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-100031056 (Rev B - 15/Jul/2024 11:00 AM America/Indianapolis),100031056 1.0M2 ROSENMUND NUTSCHE V-2570 (PPA MA Sites),BED,REQ,,,Yes,No,8-Apr-25,B,No,15-Jul-24,,,,,UOP for V-2570,SKU-1674789,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-100031057 (Rev C - 08/Jan/2026 07:00 PM America/Indianapolis),100031057 LO/TO 1.0M2 ROSENMUND  V-2560 (PPA MA Sites),BED,REQ,,,Yes,No,7-Apr-25,C,No,8-Jan-26,,,,,The purpose of this document is to detail the steps required to Lock-Out and Tag-Out(LO/TO) as per OSHA 29CFR 1910.147 the 1.0m2 Rosenmund Nutsche (V-2560) vessel for all production related processes and procedures.All trained production personnel performing any function that requires the use of LO/TO for V-2560 shall utilize this procedure.,SKU-1674790,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-100031058 (Rev C - 08/Jan/2026 07:00 PM America/Indianapolis),100031058 LO/TO 1.0M2 ROSENMUND V-2570 (PPA MA Sites),BED,REQ,,,Yes,No,7-Apr-25,C,No,8-Jan-26,,,,,The purpose of this document is to detail the steps required to Lock-Out and Tag-Out(LO/TO) as per OSHA 29CFR 1910.147 the 1.0m2 Rosenmund Nutsche (V-2570) vessel for all production related processes and procedures.All trained production personnel performing any function that requires the use of LO/TO for V-2570 shall utilize this procedure.,SKU-1674791,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-100032083 (Rev B - 18/Dec/2024 10:00 AM America/Indianapolis),"100032083 UOP,POWDER TRANSFER SYS VL-2660 (PPA MA Sites)",BED,REQ,,,Yes,No,8-Apr-25,B,No,18-Dec-24,,,,,"The purpose of this Unit Operating Procedure is to define the steps, which must be carried out for the safe operation of the Powder Transfer System (PTS).Operation of this equipment will be done by qualified Production personnel. This equipment is used to transfer POROS material between production equipment.",SKU-1674792,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-100032399 (Rev A2 - 11/Jan/2023 10:00 AM America/Indianapolis),"100032399 UOP, FLEXARM (HOIST-08) (PPA MA Sites)",BED,REQ,,,Yes,No,8-Apr-25,A2,No,11-Jan-23,,,,,The purpose of this document is to describe the steps which must be carried out for the use of the FlexArm part manipulator (HOIST-08).Operation of this equipment will be done by qualified personnel. This procedure is to be used for the operation of the FlexArm part manipulator (HOIST-08).,SKU-1674793,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-100032515 (Rev C - 14/Mar/2024 11:00 AM America/Indianapolis),100032515 XQ REGULATORY SUPPORT PACKAGE (PPA MA Sites),BED,REQ,,,Yes,No,8-Apr-25,C,No,14-Mar-24,,,,,"This Regulatory Support Packageis a compilation of information prepared byLife Technologies (a ThermoFisher Scientific Brand) and hereafter referred to asLTC, for customers to reference when documenting biopharmaceutical productionprocesses that include the use of POROSÃ‚Â® XQ Strong Anion Exchange Resin. This RSPincludes information on the following:-The name and location of the manufacturing site-A technical description of the product (including physical and chemicalcharacteristics and stability) and materials used in the manufacture of theproduct-A summary of the manufacturing process (including process controls used duringmanufacturing and packaging)-Specifications and analytical methods used to ensure the performance of theproduct is achieved.",SKU-1674794,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-100032821 (Rev D - 25/Jul/2022 11:00 AM America/Indianapolis),100032821 CONDUCT DETERMINATION FOR AKTA (PPA MA Sites),BED,REQ,,,Yes,No,8-Apr-25,D,No,25-Jul-22,,,,,The purpose of this SOP is to describe the procedure to determine the conductivity of the AKTA Purifier and Pure instruments in the QC Department.,SKU-1674795,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-100032881 (Rev B - 19/Jan/2026 07:00 PM America/Indianapolis),100032881 POROS OLIGO DT PFD FLOW DIAGR (PPA MA Sites),BED,REQ,,,Yes,No,7-Apr-25,B,No,19-Jan-26,,,,,Production flow diagram for POROS Oligo dT 100030790,SKU-1674796,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-100033171 (Rev B - 17/Dec/2025 07:00 PM America/Indianapolis),"100033171 UOP,OMEGA HANDY-LOGGER OM-2041 (PPA MA Sites)",BED,REQ,,,Yes,No,7-Apr-25,B,No,17-Dec-25,,,,,The purpose of this document is to instruct users on the proper use and maintenance of theOmega Handy Logger OM-2041 Temperature Logger and to ensure that measurements madewith it are done according to manufacturers recommendations.,SKU-1674797,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-100033969 (Rev E - 29/Aug/2022 11:00 AM America/Indianapolis),"100033969 SOP,IONIC CAP POROS OLIGO DT20 (PPA MA Sites)",BED,REQ,,,Yes,No,8-Apr-25,E,No,29-Aug-22,,,,,This SOP describes the test procedure for determining ionic capacity of batches of POROS Oligo dT20 coupled affinity resin. This applies to Oligo dT450 and Oligo dT150 and any other Oligo dT20 resins manufactured.The test should be run on all POROS Oligo dT20 batches as a part of the QC test protocol to determine batch acceptability (by comparison to appropriate specification sheets). This apples to Oligo dT450 and Oligo dT150 and any other Oligo dT20 resins manufactured,SKU-1674798,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-100034449 (Rev B - 16/Mar/2025 08:00 PM America/Indianapolis),100034449 Project Review Form (PPA MA Sites),BED,REQ,,,Yes,No,7-Apr-25,B,No,16-Mar-25,,,,,Required form to conduct a project overview,SKU-1674799,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-100034450 (Rev C - 14/Aug/2024 11:00 AM America/Indianapolis),"100034450 UOP, TROPIX 500L PROCESS EQUIPMENT (PPA MA Sites)",BED,REQ,,,Yes,No,8-Apr-25,C,No,14-Aug-24,,,,,"The purpose of this unit operating procedure (UOP) is to describe the use of the Tropix 500L Process equipment including the tank, the Variable Frequency Drive (VFD), and the peristaltic pump.The scope of this document includes the Tropix 500L tank, Variable Frequency Drive (VFD), and the peristaltic pump. It applies to all Thermo Fisher employees operating this equipment.",SKU-1674800,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-100034788 (Rev D - 14/Aug/2024 11:00 AM America/Indianapolis),100034788 TROPIX LARGE SCALE CLEANING PROTOCOL (PPA MA Sites),BED,REQ,,,Yes,No,8-Apr-25,D,No,14-Aug-24,,,,,Refer to SOP M4080,SKU-1674801,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-100035831 (Rev M - 07/Jul/2025 07:00 PM America/Indianapolis),100035831 AAV8 14 L Processing (PPA MA Sites),BED,REQ,,,Yes,No,7-Apr-25,M,No,7-Jul-25,,,,,Batch record for POROS Capture Select AAV8 4Kg Coating (P/N 100034524),SKU-1674802,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-100035832 (Rev N - 07/Jul/2025 07:00 PM America/Indianapolis),"100035832 PROC, AAV9 4KG 100026875 (PPA MA Sites)",BED,REQ,,,Yes,No,7-Apr-25,N,No,7-Jul-25,,,,,Batch record for POROS Capture Select AAV9 4Kg Coating (P/N 100026875),SKU-1674803,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-100036277 (Rev A1 - 09/Mar/2022 10:00 AM America/Indianapolis),100036277 BULK WASTE PICKUP CHECKLIST (PPA MA Sites),BED,REQ,,,Yes,No,8-Apr-25,A1,No,9-Mar-22,,,,,Refer to SOP 4379040,SKU-1674804,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-100036329 (Rev B - 19/Dec/2024 11:00 AM America/Indianapolis),100036329 POROS AAV9 CAPTURE SELECT RT STABILITY (PPA MA Sites),BED,REQ,,,Yes,No,7-Apr-25,B,No,18-Dec-24,,,,,"Determine the real time stability of 100026875, POROS AAV9 resins. POROS AAV9 has been given a 12 month initial ship by period, based on accelerated stability studies",SKU-1674805,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-100036345 (Rev L - 09/Dec/2025 07:00 PM America/Indianapolis),100036345 SUPPLIER MGMT EVALUATION & RE-EVALUATION (PPA MA Sites),BED,REQ,,,Yes,No,7-Apr-25,L,No,9-Dec-25,,,,,"The purpose of this procedure is to describe the external supplier selection andqualification process, as well as the evaluation of supplier quality for thematerials and services provided to Thermo Fisher Scientific's Bedford Site(includes Bedford, MA and Framingham, MA locations).",SKU-1674807,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-100036537 (Rev C - 01/Jan/2024 10:00 AM America/Indianapolis),"100036537 FORM, 31XX POP POLYMER POOLING (PPA MA Sites)",BED,REQ,,,Yes,No,8-Apr-25,C,No,1-Jan-24,,,,,Batch record for pooling of 31XX POP 4/6,SKU-1674808,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-100036682 (Rev J - 06/Nov/2023 10:00 AM America/Indianapolis),"100036682 PROC, POROS HE50 COATING 1KG (PPA MA Sites)",BED,REQ,,,Yes,No,8-Apr-25,J,No,6-Nov-23,,,,,Batch record for POROS 50 micron HE coating 1KG (P/N 4333581),SKU-1674809,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-100036731 (Rev D2 - 26/Sep/2022 11:00 AM America/Indianapolis),"100036731 FILLING,LABELING & PKGING SAM (PPA MA Sites)",BED,REQ,,,Yes,No,8-Apr-25,D2,No,26-Sep-22,,,,,"Batch record for filling, labeling and packaging of SAM solution",SKU-1674810,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-100036732 (Rev G - 04/May/2025 07:00 PM America/Indianapolis),100036732 PACKAGING OF 4376486 & 4376487 - SAM/Xterm Kits (PPA MA Sites),BED,REQ,,,Yes,No,7-Apr-25,G,No,4-May-25,,,,,Batch record for SAM and Xterminator kitting (P/N 4376486 &4376487),SKU-1674811,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-100037936 (Rev J - 26/Jan/2025 07:00 PM America/Indianapolis),100037936 AAV RESIN VIRAL VECTOR SPECIFICITY (PPA MA Sites),BED,REQ,,,Yes,No,7-Apr-25,J,No,26-Jan-25,,,,,"This SOP details the procedure for determining the specificity of POROS AAV resins using a resin slurry for viral particle absorption, elution, and quantification by UV at 260nm.This procedure is used by the Quality Control (QC) department to determine the viral particle specificity of AAV resins.",SKU-1674812,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-100038017 (Rev K - 26/Jan/2025 07:00 PM America/Indianapolis),"100038017 FORM, VIRAL VECTOR RESIN SPECIFICITY (PPA MA Sites)",BED,REQ,,,Yes,No,8-Apr-25,K,No,19-Nov-21,,,,,POROS AAVX RESIN VIRAL VECTOR SPECIFICITY ASSAY,SKU-1674813,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-100038019 (Rev C1 - 06/Jan/2023 10:00 AM America/Indianapolis),100038019 FINISHED GOODS REPROCESSING (PPA MA Sites),BED,REQ,,,Yes,No,8-Apr-25,C1,No,6-Jan-23,,,,,"The purpose of this procedure is to describe the steps necessary to return Finished Goods that have failed inspection or have been identified as NON-CONFORMING as per BED1013, and require reprocessing.",SKU-1674814,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-100038362 (Rev E - 09/Feb/2025 07:00 PM America/Indianapolis),"100038362 QCM, 4400898 SYSMEX FINAL (PPA MA Sites)",BED,REQ,,,Yes,No,7-Apr-25,E,No,9-Feb-25,,,,,This SOP details the qualifying assessment of the CDP-Star / Sapphire-II formulation (4400898) purchased by Sysmex using an alkaline phosphatase enzyme assay.This procedure is to be used by qualified personnel whenever final QC testing of 4400898 formulation is required.,SKU-1674815,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-100038363 (Rev EO - 09/Feb/2025 07:00 PM America/Indianapolis),"100038363 FORM, 4400898 SYSMEX FINAL (PPA MA Sites)",BED,REQ,,,Yes,No,7-Apr-25,EO,No,9-Feb-25,,,,,"Includes plate layout, raw data, and analysis final tabs",SKU-1674816,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-100038476 (Rev D - 15/Sep/2023 11:00 AM America/Indianapolis),"100038476 PROC,NANODROP OPERATION & CALIBRATION (PPA MA Sites)",BED,REQ,,,Yes,No,8-Apr-25,D,No,15-Sep-23,,,,,This SOP details the procedure for operating and calibration the NanoDrop 2000CSpectrophotometer.This procedure is used by the Quality Control (QC) and Research and Development (R&D)departments to measure absorbance of samples.,SKU-1674817,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-100038718 (Rev B - 19/Nov/2024 10:00 AM America/Indianapolis),"100038718 PROC, 15X G.A. BUFFER PREP (PPA MA Sites)",BED,REQ,,,Yes,No,8-Apr-25,B,No,19-Nov-24,,,,,Batch record for Monarch 15X GA buffer P/N 100041175,SKU-1674818,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-100038719 (Rev F - 04/Oct/2023 11:00 AM America/Indianapolis),"100038719 PROC, LPA CONCENTRATION (PPA MA Sites)",BED,REQ,,,Yes,No,8-Apr-25,F,No,4-Oct-23,,,,,Batch record for Monarch LPA Concentration P/N 100041174,SKU-1674819,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-100038720 (Rev E - 04/Oct/2023 11:00 AM America/Indianapolis),"100038720 PROC, BULK POP-1# POLYMER (PPA MA Sites)",BED,REQ,,,Yes,No,8-Apr-25,E,No,4-Oct-23,,,,,Batch record for Monarch POP 1 Bulk,SKU-1674820,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-100038721 (Rev B - 21/Oct/2025 07:00 PM America/Indianapolis),"100038721 CALC, POP-1 FORMULATION WRKSHT (PPA MA Sites)",BED,REQ,,,Yes,No,7-Apr-25,B,No,21-Oct-25,,,,,Use worksheet for Monarch POP 1 formulation,SKU-1674821,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-100039280 (Rev B - 04/May/2025 07:00 PM America/Indianapolis),"100039280 SOP, JOB HAZARD ANALYSIS (PPA MA Sites)",BED,REQ,,,Yes,No,7-Apr-25,B,No,4-May-25,,,,,The purpose of this analysis is to ensure occupational hazards are known and controlled; and to establish minimum requirements for conducting and documenting Job Hazard Analysis…,SKU-1674822,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-100039954 (Rev T - 17/Dec/2025 07:00 PM America/Indianapolis),"100039954 PROC, POROS R6 100038683 (PPA MA Sites)",BED,REQ,,,Yes,No,7-Apr-25,T,No,17-Dec-25,,,,,R6 Batch Record,SKU-1674823,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-100040126 (Rev D - 29/Aug/2022 11:00 AM America/Indianapolis),"100040126 PROC, LOW PH IONIC CAPACITY AEX50 (PPA MA Sites)",BED,REQ,,,Yes,No,8-Apr-25,D,No,29-Aug-22,,,,,"This SOP describes the test procedure for determining low pH ionic capacity of POROS HQ50, PI50 and D50 anion exchange resins.The test should be run on all POROS HQ50, PI50 and D50 batches as a part of the QC test protocol to monitor batch consistency. These products can be generalized by referring to them as AEX50 and unless otherwise specified the term AEX50 refers to these 50 Âµm anion exchange products. This test is a run and record test.",SKU-1674824,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-100040127 (Rev E - 02/Nov/2023 11:00 AM America/Indianapolis),"100040127 PROC,HIGH PH IONIC CAPACITY HQ50 (PPA MA Sites)",BED,REQ,,,Yes,No,8-Apr-25,E,No,2-Nov-23,,,,,This SOP describes the test procedure for ionic capacity testing at pH 12 on batches of POROS HQ50 to assess the ionic capacity of quarternized amines.The test should be run on all POROS HQ50 batches as a part of the QC test protocol to monitor batch consistency. This test is a run and record test.,SKU-1674825,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-100040128 (Rev F - 04/Nov/2025 07:00 PM America/Indianapolis),"100040128 PROC,PROTEIN STAND SEPARATION AEX50 (PPA MA Sites)",BED,REQ,,,Yes,No,7-Apr-25,F,No,4-Nov-25,,,,,"This SOP describes the test procedure for protein standard separation test on anion exchange batches of POROS HQ50, PI50 and D50 media.The test should be run on all POROS HQ50, PI50 and D50 batches as a part of the QC test protocol to determine batch acceptability (using the appropriate specification sheets). These products can be generalized by referring to them as AEX50 and unless otherwise specified the term AEX50 refers to these 50 Âµm anion exchange products.",SKU-1674826,Y,,No,Days,28,Event,,,,,
